"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!Built 2010 or later","Margin of Error!!Median gross rent!!Total!!Built 2010 or later","Estimate!!Median gross rent!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent!!Total!!Built 2000 to 2009","Estimate!!Median gross rent!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent!!Total!!Built 1990 to 1999","Estimate!!Median gross rent!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent!!Total!!Built 1980 to 1989","Estimate!!Median gross rent!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent!!Total!!Built 1970 to 1979","Estimate!!Median gross rent!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent!!Total!!Built 1960 to 1969","Estimate!!Median gross rent!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent!!Total!!Built 1950 to 1959","Estimate!!Median gross rent!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent!!Total!!Built 1940 to 1949","Estimate!!Median gross rent!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent!!Total!!Built 1939 or earlier",
"0500000US19087","Henry County, Iowa","605","35","716","90","603","148","580","57","559","48","609","107","594","77","530","120","645","165","694","112",
"0500000US19089","Howard County, Iowa","608","35","-","**","1193","1680","636","74","756","436","624","83","532","43","571","77","760","73","529","118",
"0500000US19091","Humboldt County, Iowa","582","46","-","**","1181","150","528","56","246","300","518","85","510","155","587","60","609","29","628","37",
"0500000US19093","Ida County, Iowa","426","32","-","**","408","617","292","46","418","86","341","57","456","62","656","221","404","137","551","115",
"0500000US19095","Iowa County, Iowa","539","30","-","**","934","275","540","23","544","84","476","48","716","91","694","109","554","116","509","67",
"0500000US19097","Jackson County, Iowa","570","37","-","**","506","134","726","59","624","136","343","179","572","183","662","156","579","76","586","62",
"0500000US19099","Jasper County, Iowa","648","28","-","**","785","258","636","38","535","128","627","67","603","43","793","82","549","55","748","84",
"0500000US19101","Jefferson County, Iowa","652","42","-","**","712","122","605","130","598","104","570","96","548","170","612","257","758","271","682","32",
"0500000US19103","Johnson County, Iowa","860","17","1361","274","1113","53","947","55","792","32","775","20","746","40","735","109","768","83","827","72",
"0500000US19105","Jones County, Iowa","591","47","-","**","672","42","620","124","416","37","497","125","476","39","734","41","766","158","578","68",
"0500000US19107","Keokuk County, Iowa","564","37","-","**","813","579","468","40","538","113","448","94","389","204","775","351","661","159","663","113",
"0500000US19109","Kossuth County, Iowa","553","37","-","**","657","34","542","390","473","138","487","27","450","141","665","212","786","328","602","56",
