"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant",
"0500000US06071","San Bernardino County, California","711900","791","623642","2348","88258","2253",
"0500000US06073","San Diego County, California","1195868","799","1111739","2983","84129","2916",
"0500000US06075","San Francisco County, California","390376","466","358772","1742","31604","1689",
"0500000US06077","San Joaquin County, California","239253","422","223808","1054","15445","901",
"0500000US06079","San Luis Obispo County, California","120182","380","105044","886","15138","752",
"0500000US06081","San Mateo County, California","275109","326","261796","1009","13313","979",
"0500000US06083","Santa Barbara County, California","155339","300","144015","864","11324","773",
"0500000US06085","Santa Clara County, California","658409","466","630451","1707","27958","1532",
"0500000US06087","Santa Cruz County, California","105586","289","95536","702","10050","661",
"0500000US06089","Shasta County, California","78211","189","70486","734","7725","691",
"0500000US06091","Sierra County, California","2388","59","1208","156","1180","157",
"0500000US06093","Siskiyou County, California","24055","90","19018","362","5037","356",
"0500000US06095","Solano County, California","155973","196","147352","738","8621","713",
"0500000US06097","Sonoma County, California","207908","422","190058","1004","17850","975",
"0500000US06099","Stanislaus County, California","180755","183","171324","939","9431","922",
"0500000US06101","Sutter County, California","34204","96","32188","390","2016","384",
"0500000US06103","Tehama County, California","27359","120","23712","493","3647","482",
"0500000US06105","Trinity County, California","8814","58","5462","241","3352","227",
"0500000US06107","Tulare County, California","146712","206","135144","801","11568","781",
"0500000US06109","Tuolumne County, California","31433","147","22267","535","9166","504",
"0500000US06111","Ventura County, California","285997","325","270046","1040","15951","998",
"0500000US06113","Yolo County, California","76916","254","72845","576","4071","495",
"0500000US06115","Yuba County, California","28225","121","25880","472","2345","436",
"0500000US08001","Adams County, Colorado","169275","209","162508","673","6767","658",
"0500000US08003","Alamosa County, Colorado","6867","97","6049","246","818","212",
"0500000US08005","Arapahoe County, Colorado","246011","363","235263","1016","10748","865",
"0500000US08007","Archuleta County, Colorado","9121","50","5553","254","3568","259",
"0500000US08009","Baca County, Colorado","2257","42","1603","83","654","78",
"0500000US08011","Bent County, Colorado","2252","149","1760","196","492","105",
"0500000US08013","Boulder County, Colorado","132801","306","125026","746","7775","689",
"0500000US08014","Broomfield County, Colorado","26909","92","25938","262","971","260",
"0500000US08015","Chaffee County, Colorado","10630","145","7900","344","2730","294",
"0500000US08017","Cheyenne County, Colorado","921","72","776","73","145","35",
"0500000US08019","Clear Creek County, Colorado","5756","32","4374","236","1382","233",
