CoC-Code,Year,pct_change_homeless,pop_norm,rent_norm,funding_norm,extreme_poverty_rate,poverty_rate,vacancy_rate,homeless_rate,chronic_share,unsheltered_share,sheltered_share,ES_share,TH_share,SH_share
HI-501,2023,2.1039290240811193,0.09769621192282878,0.7189359467973399,0.06121596401432642,0.04646765616710466,0.0913087644404963,0.09472267806160681,0.004141425357696594,0.22765640516385302,0.5871400198609732,0.4128599801390268,0.6710763680096211,0.3036680697534576,0.025255562236921228
HI-501,2024,11.643495531281033,0.09739587461087987,0.7290864543227161,0.0656064664327072,0.048713828687880434,0.0922967919457273,0.09467171069505001,0.004637889816856465,0.23326662219257283,0.6150767178118746,0.38492328218812544,0.6649335644136337,0.3148469093009821,0.020219526285384173
IL-510,2014,0.0,0.5168854357798971,0.3416170808540427,0.15166969575625766,0.36285297693923185,0.172228668638875,0.11022938099698075,0.0014514639886712352,0.10068282233230687,0.14861427232561253,0.8513857276743875,0.366724327724485,0.6247837710331813,0.0084919012423337
IL-510,2015,2.8383987146873846,0.5175066016451454,0.34301715085754286,0.14935430676270378,0.07806118101569035,0.1707094475315813,0.10732126866888822,0.001490870673519897,0.15258429891941153,0.28186434058065357,0.7181356594193464,0.35714285714285715,0.6330674401740392,0.009789702683103698
IL-510,2016,-10.936076031766696,0.5164821400248888,0.3496674833741687,0.1594065476180057,0.07599229378524042,0.16661052575895247,0.10367503129963046,0.0013304617194209681,0.0688495833942406,0.19777810261657652,0.8022218973834234,0.34967201166180756,0.639030612244898,0.01129737609329446
IL-510,2017,-5.905569361204499,0.5174711437618283,0.3654182709135457,0.23467563566176985,0.07312890771342108,0.15947682984352646,0.10413340372447272,0.0012494977356857096,0.15069131583035575,0.256796644399565,0.7432033556004349,0.37855351170568563,0.6082775919732442,0.013168896321070234
IL-510,2018,-1.7710113406866568,0.5160992350639694,0.38186909345467274,0.24768772572946898,0.0691456150744685,0.15142432520593568,0.10296317756308965,0.0012306316139393991,0.17475881701723867,0.2291633718171754,0.7708366281828246,0.7431267952400492,0.24353713582273287,0.013336068937217891
IL-510,2019,-2.1508777479044783,0.5135568144276018,0.39306965348267414,0.25535655135395724,0.06497309347837865,0.143655965799682,0.10086452703596072,0.001210123572647804,0.21512849523193794,0.22062388879909486,0.7793761112009051,0.7229365408544173,0.26441310659477396,0.012650352550808793
IL-510,2020,0.7919831905608632,0.5104790098873253,0.40602030101505077,0.32666972664607274,0.0624723045379236,0.13677052218982066,0.09416239972089922,0.0012270614672003086,0.27180885182809494,0.26411161000641437,0.7358883899935856,0.7241229025931576,0.2641098278492046,0.01176726955763783
IL-510,2021,-23.524695317511224,0.5203041583257771,0.42492124606230314,0.34119504440187826,0.06306775029662884,0.13481389701757224,0.0928500188115368,0.0009206787655452624,0.17089536590480184,0.1472006710002097,0.8527993289997903,0.7108433734939759,0.27587902630931893,0.013277600196705187
IL-510,2022,4.23568882365275,0.5165966499030232,0.46132306615330765,0.3691310809990329,0.06424427625781554,0.13375672083257825,0.08626425550751575,0.0009665632502969105,0.17944075638704485,0.2739891369945685,0.7260108630054315,0.7029648101967304,0.28151842615683015,0.015516763646439457
IL-510,2023,44.739489036411186,0.5124565151248966,0.4833741687084354,0.6177191247116908,0.06528175544573261,0.13339116973068246,0.08182486481153338,0.0014103012164264515,0.1202223766504517,0.1476025017373176,0.8523974982626824,0.7969998369476602,0.19517365074188814,0.007826512310451655
IL-510,2024,178.30437804030578,0.5118976265617917,0.5022751137556878,0.4112214829946248,0.06700701289573,0.13490645842192087,0.07742742894443339,0.003929215257772336,0.14497602876548144,0.08729524570515382,0.9127047542948462,0.9301269424381703,0.06702779601663383,0.0028452615451958854
MA-500,2014,0.0,0.07085861214228596,0.44767238361918094,0.0,0.3827163818998598,0.2115401789827779,0.08028164556962025,0.008487010069021634,0.13612827793552698,0.03006514113913479,0.9699348588608652,0.805062855174789,0.19080420182538316,0.004132942999827794
MA-500,2015,8.434942375146148,0.07183767160033482,0.45432271613580677,0.0,0.10640707628031064,0.20733020311027464,0.07689818473735632,0.00907746043642282,0.14741219963031424,0.021410967344423906,0.9785890326555761,0.8381866834566346,0.15835038564457737,0.003462930898787974
